17/02/06-23:10:06 | Phase 1 | BEGIN | Parameter initialization
17/02/06-23:10:06 | Phase 1 | Step 1: Log File | 17.02.06.23.10.06.log
17/02/06-23:10:06 | Phase 1 | Step 2: Data folder | 08/
17/02/06-23:10:06 | Phase 1 | Step 2: Variable vector | 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60
17/02/06-23:10:06 | Phase 1 | Step 2: Class position | 61
17/02/06-23:10:06 | Phase 1 | Step 2: Number of Hs | 100
17/02/06-23:10:06 | Phase 1 | Step 3: Train File | 08/08.08.train.arff
17/02/06-23:10:06 | Phase 1 | Step 3: Train File Instances | 187
17/02/06-23:10:06 | Phase 1 | Step 3: Train File Variables | 61
17/02/06-23:10:06 | Phase 1 | Step 3: Test File | 08/08.08.test.arff
17/02/06-23:10:06 | Phase 1 | Step 3: Test File Instances | 21
17/02/06-23:10:06 | Phase 1 | Step 3: Test File Variables | 61
17/02/06-23:10:06 | Phase 1 | Step 4: ACC Method | 2
17/02/06-23:10:06 | Phase 1 | Step 4: Array H | Created
17/02/06-23:10:06 | Phase 1 | Step 4: Array ACC | Created
17/02/06-23:10:06 | Phase 1 | Step 4: H range | 1
17/02/06-23:10:06 | Phase 1 | Step 4: Exponent | 1
17/02/06-23:10:06 | Phase 1 | Step 5: Global variables creation | SUCCESS!
17/02/06-23:10:06 | Phase 1 | Step 6: H matrix | Initialized to zero
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 1
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999992, 0.000882828282828275, 0.00156565656565656, 0.00224848484848484, 0.00293131313131312, 0.00361414141414141, 0.00429696969696969, 0.00497979797979797, 0.00566262626262626, 0.00634545454545454, 0.00702828282828282, 0.0077111111111111, 0.00839393939393939, 0.00907676767676767, 0.00975959595959595, 0.0104424242424242, 0.0111252525252525, 0.0118080808080808, 0.0124909090909091, 0.0131737373737374, 0.0138565656565657, 0.0145393939393939, 0.0152222222222222, 0.0159050505050505, 0.0165878787878788, 0.0172707070707071, 0.0179535353535353, 0.0186363636363636, 0.0193191919191919, 0.0200020202020202, 0.0206848484848485, 0.0213676767676768, 0.022050505050505, 0.0227333333333333, 0.0234161616161616, 0.0240989898989899, 0.0247818181818182, 0.0254646464646465, 0.0261474747474747, 0.026830303030303, 0.0275131313131313, 0.0281959595959596, 0.0288787878787879, 0.0295616161616162, 0.0302444444444444, 0.0309272727272727, 0.031610101010101, 0.0322929292929293, 0.0329757575757576, 0.0336585858585859, 0.0343414141414141, 0.0350242424242424, 0.0357070707070707, 0.036389898989899, 0.0370727272727273, 0.0377555555555556, 0.0384383838383838, 0.0391212121212121, 0.0398040404040404, 0.0404868686868687, 0.041169696969697, 0.0418525252525253, 0.0425353535353535, 0.0432181818181818, 0.0439010101010101, 0.0445838383838384, 0.0452666666666667, 0.0459494949494949, 0.0466323232323232, 0.0473151515151515, 0.0479979797979798, 0.0486808080808081, 0.0493636363636364, 0.0500464646464646, 0.0507292929292929, 0.0514121212121212, 0.0520949494949495, 0.0527777777777778, 0.0534606060606061, 0.0541434343434343, 0.0548262626262626, 0.0555090909090909, 0.0561919191919192, 0.0568747474747475, 0.0575575757575758, 0.058240404040404, 0.0589232323232323, 0.0596060606060606, 0.0602888888888889, 0.0609717171717172, 0.0616545454545455, 0.0623373737373737, 0.063020202020202, 0.0637030303030303, 0.0643858585858586, 0.0650686868686869, 0.0657515151515152, 0.0664343434343434, 0.0671171717171717, 0.0678
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 2
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999992, 0.00137070707070706, 0.00254141414141413, 0.0037121212121212, 0.00488282828282828, 0.00605353535353535, 0.00722424242424242, 0.00839494949494949, 0.00956565656565656, 0.0107363636363636, 0.0119070707070707, 0.0130777777777778, 0.0142484848484848, 0.0154191919191919, 0.016589898989899, 0.0177606060606061, 0.0189313131313131, 0.0201020202020202, 0.0212727272727273, 0.0224434343434343, 0.0236141414141414, 0.0247848484848485, 0.0259555555555556, 0.0271262626262626, 0.0282969696969697, 0.0294676767676768, 0.0306383838383838, 0.0318090909090909, 0.032979797979798, 0.034150505050505, 0.0353212121212121, 0.0364919191919192, 0.0376626262626263, 0.0388333333333333, 0.0400040404040404, 0.0411747474747475, 0.0423454545454545, 0.0435161616161616, 0.0446868686868687, 0.0458575757575758, 0.0470282828282828, 0.0481989898989899, 0.049369696969697, 0.050540404040404, 0.0517111111111111, 0.0528818181818182, 0.0540525252525252, 0.0552232323232323, 0.0563939393939394, 0.0575646464646465, 0.0587353535353535, 0.0599060606060606, 0.0610767676767677, 0.0622474747474747, 0.0634181818181818, 0.0645888888888889, 0.065759595959596, 0.066930303030303, 0.0681010101010101, 0.0692717171717172, 0.0704424242424242, 0.0716131313131313, 0.0727838383838384, 0.0739545454545455, 0.0751252525252525, 0.0762959595959596, 0.0774666666666667, 0.0786373737373737, 0.0798080808080808, 0.0809787878787879, 0.0821494949494949, 0.083320202020202, 0.0844909090909091, 0.0856616161616162, 0.0868323232323232, 0.0880030303030303, 0.0891737373737374, 0.0903444444444444, 0.0915151515151515, 0.0926858585858586, 0.0938565656565657, 0.0950272727272727, 0.0961979797979798, 0.0973686868686869, 0.0985393939393939, 0.099710101010101, 0.100880808080808, 0.102051515151515, 0.103222222222222, 0.104392929292929, 0.105563636363636, 0.106734343434343, 0.107905050505051, 0.109075757575758, 0.110246464646465, 0.111417171717172, 0.112587878787879, 0.113758585858586, 0.114929292929293, 0.1161
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 3
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00173535353535351, 0.00327070707070705, 0.00480606060606058, 0.00634141414141412, 0.00787676767676766, 0.00941212121212119, 0.0109474747474747, 0.0124828282828283, 0.0140181818181818, 0.0155535353535353, 0.0170888888888889, 0.0186242424242424, 0.0201595959595959, 0.0216949494949495, 0.023230303030303, 0.0247656565656565, 0.0263010101010101, 0.0278363636363636, 0.0293717171717172, 0.0309070707070707, 0.0324424242424242, 0.0339777777777778, 0.0355131313131313, 0.0370484848484848, 0.0385838383838384, 0.0401191919191919, 0.0416545454545454, 0.043189898989899, 0.0447252525252525, 0.046260606060606, 0.0477959595959596, 0.0493313131313131, 0.0508666666666667, 0.0524020202020202, 0.0539373737373737, 0.0554727272727273, 0.0570080808080808, 0.0585434343434343, 0.0600787878787879, 0.0616141414141414, 0.0631494949494949, 0.0646848484848485, 0.066220202020202, 0.0677555555555555, 0.0692909090909091, 0.0708262626262626, 0.0723616161616162, 0.0738969696969697, 0.0754323232323232, 0.0769676767676768, 0.0785030303030303, 0.0800383838383838, 0.0815737373737374, 0.0831090909090909, 0.0846444444444444, 0.086179797979798, 0.0877151515151515, 0.089250505050505, 0.0907858585858586, 0.0923212121212121, 0.0938565656565656, 0.0953919191919192, 0.0969272727272727, 0.0984626262626263, 0.0999979797979798, 0.101533333333333, 0.103068686868687, 0.10460404040404, 0.106139393939394, 0.107674747474747, 0.109210101010101, 0.110745454545455, 0.112280808080808, 0.113816161616162, 0.115351515151515, 0.116886868686869, 0.118422222222222, 0.119957575757576, 0.121492929292929, 0.123028282828283, 0.124563636363636, 0.12609898989899, 0.127634343434343, 0.129169696969697, 0.13070505050505, 0.132240404040404, 0.133775757575758, 0.135311111111111, 0.136846464646465, 0.138381818181818, 0.139917171717172, 0.141452525252525, 0.142987878787879, 0.144523232323232, 0.146058585858586, 0.147593939393939, 0.149129292929293, 0.150664646464646, 0.1522
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 4
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.0023222222222222, 0.00444444444444442, 0.00656666666666665, 0.00868888888888887, 0.0108111111111111, 0.0129333333333333, 0.0150555555555555, 0.0171777777777778, 0.0193, 0.0214222222222222, 0.0235444444444444, 0.0256666666666666, 0.0277888888888889, 0.0299111111111111, 0.0320333333333333, 0.0341555555555555, 0.0362777777777778, 0.0384, 0.0405222222222222, 0.0426444444444444, 0.0447666666666666, 0.0468888888888889, 0.0490111111111111, 0.0511333333333333, 0.0532555555555555, 0.0553777777777778, 0.0575, 0.0596222222222222, 0.0617444444444444, 0.0638666666666667, 0.0659888888888889, 0.0681111111111111, 0.0702333333333333, 0.0723555555555555, 0.0744777777777778, 0.0766, 0.0787222222222222, 0.0808444444444444, 0.0829666666666666, 0.0850888888888889, 0.0872111111111111, 0.0893333333333333, 0.0914555555555555, 0.0935777777777778, 0.0957, 0.0978222222222222, 0.0999444444444444, 0.102066666666667, 0.104188888888889, 0.106311111111111, 0.108433333333333, 0.110555555555556, 0.112677777777778, 0.1148, 0.116922222222222, 0.119044444444444, 0.121166666666667, 0.123288888888889, 0.125411111111111, 0.127533333333333, 0.129655555555556, 0.131777777777778, 0.1339, 0.136022222222222, 0.138144444444444, 0.140266666666667, 0.142388888888889, 0.144511111111111, 0.146633333333333, 0.148755555555556, 0.150877777777778, 0.153, 0.155122222222222, 0.157244444444444, 0.159366666666667, 0.161488888888889, 0.163611111111111, 0.165733333333333, 0.167855555555556, 0.169977777777778, 0.1721, 0.174222222222222, 0.176344444444444, 0.178466666666667, 0.180588888888889, 0.182711111111111, 0.184833333333333, 0.186955555555556, 0.189077777777778, 0.1912, 0.193322222222222, 0.195444444444444, 0.197566666666667, 0.199688888888889, 0.201811111111111, 0.203933333333333, 0.206055555555556, 0.208177777777778, 0.2103
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 5
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 0.000199999999999978, 0.00218939393939392, 0.00417878787878786, 0.0061681818181818, 0.00815757575757574, 0.0101469696969697, 0.0121363636363636, 0.0141257575757576, 0.0161151515151515, 0.0181045454545454, 0.0200939393939394, 0.0220833333333333, 0.0240727272727273, 0.0260621212121212, 0.0280515151515151, 0.0300409090909091, 0.032030303030303, 0.0340196969696969, 0.0360090909090909, 0.0379984848484848, 0.0399878787878788, 0.0419772727272727, 0.0439666666666667, 0.0459560606060606, 0.0479454545454545, 0.0499348484848485, 0.0519242424242424, 0.0539136363636364, 0.0559030303030303, 0.0578924242424242, 0.0598818181818182, 0.0618712121212121, 0.063860606060606, 0.06585, 0.0678393939393939, 0.0698287878787879, 0.0718181818181818, 0.0738075757575758, 0.0757969696969697, 0.0777863636363636, 0.0797757575757576, 0.0817651515151515, 0.0837545454545454, 0.0857439393939394, 0.0877333333333333, 0.0897227272727273, 0.0917121212121212, 0.0937015151515151, 0.0956909090909091, 0.097680303030303, 0.099669696969697, 0.101659090909091, 0.103648484848485, 0.105637878787879, 0.107627272727273, 0.109616666666667, 0.111606060606061, 0.113595454545455, 0.115584848484848, 0.117574242424242, 0.119563636363636, 0.12155303030303, 0.123542424242424, 0.125531818181818, 0.127521212121212, 0.129510606060606, 0.1315, 0.133489393939394, 0.135478787878788, 0.137468181818182, 0.139457575757576, 0.14144696969697, 0.143436363636364, 0.145425757575758, 0.147415151515152, 0.149404545454545, 0.151393939393939, 0.153383333333333, 0.155372727272727, 0.157362121212121, 0.159351515151515, 0.161340909090909, 0.163330303030303, 0.165319696969697, 0.167309090909091, 0.169298484848485, 0.171287878787879, 0.173277272727273, 0.175266666666667, 0.177256060606061, 0.179245454545455, 0.181234848484848, 0.183224242424242, 0.185213636363636, 0.18720303030303, 0.189192424242424, 0.191181818181818, 0.193171212121212, 0.195160606060606, 0.19715
17/02/06-23:10:06 | Phase 1 | Step 7: Estimating H values | Variable 6
