@relation BloodTransfusion-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute Recency numeric
@attribute Frequency numeric
@attribute Monetary numeric
@attribute Time numeric
@attribute Class {1,0}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
2,50,12500,98,1,no,yes
0,13,3250,28,1,no,no
1,16,4000,35,1,no,no
2,20,5000,45,1,no,no
1,24,6000,77,0,yes,no
4,4,1000,4,0,no,no
2,7,1750,14,1,no,no
1,12,3000,35,0,no,no
2,9,2250,22,1,no,no
5,46,11500,98,1,no,yes
4,23,5750,58,0,yes,no
0,3,750,4,0,no,no
2,10,2500,28,1,no,no
1,13,3250,47,0,no,no
2,6,1500,15,1,no,no
2,5,1250,11,1,no,no
2,14,3500,48,1,no,no
2,15,3750,49,1,no,no
2,6,1500,15,1,no,no
2,3,750,4,1,no,no
2,3,750,4,1,no,no
4,11,2750,28,0,no,no
2,6,1500,16,1,no,no
2,6,1500,16,1,no,no
9,9,2250,16,0,no,no
4,14,3500,40,0,no,no
4,6,1500,14,0,no,no
4,12,3000,34,1,no,no
4,5,1250,11,1,no,no
4,8,2000,21,0,no,no
1,14,3500,58,0,no,no
4,10,2500,28,1,no,no
4,10,2500,28,1,no,no
4,9,2250,26,1,no,no
2,16,4000,64,0,no,no
2,8,2000,28,1,no,no
2,12,3000,47,1,no,no
4,6,1500,16,1,no,no
2,14,3500,57,1,no,no
4,7,1750,22,1,no,no
2,13,3250,53,1,no,no
2,5,1250,16,0,no,no
2,5,1250,16,1,no,no
2,5,1250,16,0,no,no
4,20,5000,69,1,no,no
4,9,2250,28,1,no,no
2,9,2250,36,0,no,no
2,2,500,2,0,no,no
2,2,500,2,0,no,no
2,2,500,2,0,no,no
2,11,2750,46,0,no,no
2,11,2750,46,1,no,no
2,6,1500,22,0,no,no
2,12,3000,52,0,no,no
4,5,1250,14,1,no,no
4,19,4750,69,1,no,no
4,8,2000,26,1,no,no
2,7,1750,28,1,no,no
2,16,4000,81,0,no,no
3,6,1500,21,0,no,no
