17/05/24-19:57:50 | Phase 1 | BEGIN | Parameter initialization
17/05/24-19:57:50 | Phase 1 | Step 1: Log File | 17.05.24.19.57.50.log
17/05/24-19:57:50 | Phase 1 | Step 2: Data folder | ../../bbdd/01.Horse.Colic/04.Final.SCV/5/
17/05/24-19:57:50 | Phase 1 | Step 2: Variable vector | 3, 4, 5, 15, 18, 19, 21
17/05/24-19:57:50 | Phase 1 | Step 2: Class position | 23
17/05/24-19:57:50 | Phase 1 | Step 2: Number of Hs | 100
17/05/24-19:57:50 | Phase 1 | Step 3: Train File | ../../bbdd/01.Horse.Colic/04.Final.SCV/5/01.05.train.arff
17/05/24-19:57:50 | Phase 1 | Step 3: Train File Instances | 331
17/05/24-19:57:50 | Phase 1 | Step 3: Train File Variables | 23
17/05/24-19:57:50 | Phase 1 | Step 3: Test File | ../../bbdd/01.Horse.Colic/04.Final.SCV/5/01.05.test.arff
17/05/24-19:57:50 | Phase 1 | Step 3: Test File Instances | 37
17/05/24-19:57:50 | Phase 1 | Step 3: Test File Variables | 23
17/05/24-19:57:50 | Phase 1 | Step 4: ACC Method | 2
17/05/24-19:57:50 | Phase 1 | Step 4: Array H | Created
17/05/24-19:57:50 | Phase 1 | Step 4: Array ACC | Created
17/05/24-19:57:50 | Phase 1 | Step 4: H range | 1
17/05/24-19:57:50 | Phase 1 | Step 4: Exponent | 1
17/05/24-19:57:50 | Phase 1 | Step 5: Global variables creation | SUCCESS!
17/05/24-19:57:50 | Phase 1 | Step 6: H matrix | Initialized to zero
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 3
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 0.0688959999999952, 0.0954728080808033, 0.122049616161611, 0.14862642424242, 0.175203232323228, 0.201780040404036, 0.228356848484844, 0.254933656565652, 0.28151046464646, 0.308087272727268, 0.334664080808076, 0.361240888888885, 0.387817696969693, 0.414394505050501, 0.440971313131309, 0.467548121212117, 0.494124929292925, 0.520701737373733, 0.547278545454541, 0.573855353535349, 0.600432161616158, 0.627008969696966, 0.653585777777774, 0.680162585858582, 0.70673939393939, 0.733316202020198, 0.759893010101006, 0.786469818181814, 0.813046626262623, 0.839623434343431, 0.866200242424239, 0.892777050505047, 0.919353858585855, 0.945930666666663, 0.972507474747471, 0.999084282828279, 1.02566109090909, 1.0522378989899, 1.0788147070707, 1.10539151515151, 1.13196832323232, 1.15854513131313, 1.18512193939394, 1.21169874747474, 1.23827555555555, 1.26485236363636, 1.29142917171717, 1.31800597979798, 1.34458278787879, 1.37115959595959, 1.3977364040404, 1.42431321212121, 1.45089002020202, 1.47746682828283, 1.50404363636363, 1.53062044444444, 1.55719725252525, 1.58377406060606, 1.61035086868687, 1.63692767676767, 1.66350448484848, 1.69008129292929, 1.7166581010101, 1.74323490909091, 1.76981171717171, 1.79638852525252, 1.82296533333333, 1.84954214141414, 1.87611894949495, 1.90269575757576, 1.92927256565656, 1.95584937373737, 1.98242618181818, 2.00900298989899, 2.0355797979798, 2.0621566060606, 2.08873341414141, 2.11531022222222, 2.14188703030303, 2.16846383838384, 2.19504064646465, 2.22161745454545, 2.24819426262626, 2.27477107070707, 2.30134787878788, 2.32792468686869, 2.35450149494949, 2.3810783030303, 2.40765511111111, 2.43423191919192, 2.46080872727273, 2.48738553535353, 2.51396234343434, 2.54053915151515, 2.56711595959596, 2.59369276767677, 2.62026957575757, 2.64684638383838, 2.67342319191919, 2.7
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 4
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 1.51462000000001, 2.27709858585859, 3.03957717171718, 3.80205575757576, 4.56453434343435, 5.32701292929294, 6.08949151515152, 6.85197010101011, 7.61444868686869, 8.37692727272728, 9.13940585858587, 9.90188444444445, 10.664363030303, 11.4268416161616, 12.1893202020202, 12.9517987878788, 13.7142773737374, 14.476755959596, 15.2392345454546, 16.0017131313131, 16.7641917171717, 17.5266703030303, 18.2891488888889, 19.0516274747475, 19.8141060606061, 20.5765846464647, 21.3390632323232, 22.1015418181818, 22.8640204040404, 23.626498989899, 24.3889775757576, 25.1514561616162, 25.9139347474748, 26.6764133333333, 27.4388919191919, 28.2013705050505, 28.9638490909091, 29.7263276767677, 30.4888062626263, 31.2512848484849, 32.0137634343434, 32.776242020202, 33.5387206060606, 34.3011991919192, 35.0636777777778, 35.8261563636364, 36.588634949495, 37.3511135353535, 38.1135921212121, 38.8760707070707, 39.6385492929293, 40.4010278787879, 41.1635064646465, 41.9259850505051, 42.6884636363636, 43.4509422222222, 44.2134208080808, 44.9758993939394, 45.738377979798, 46.5008565656566, 47.2633351515152, 48.0258137373737, 48.7882923232323, 49.5507709090909, 50.3132494949495, 51.0757280808081, 51.8382066666667, 52.6006852525253, 53.3631638383838, 54.1256424242424, 54.888121010101, 55.6505995959596, 56.4130781818182, 57.1755567676768, 57.9380353535354, 58.7005139393939, 59.4629925252525, 60.2254711111111, 60.9879496969697, 61.7504282828283, 62.5129068686869, 63.2753854545455, 64.037864040404, 64.8003426262626, 65.5628212121212, 66.3252997979798, 67.0877783838384, 67.850256969697, 68.6127355555556, 69.3752141414141, 70.1376927272727, 70.9001713131313, 71.6626498989899, 72.4251284848485, 73.1876070707071, 73.9500856565656, 74.7125642424242, 75.4750428282828, 76.2375214141414, 77
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 5
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 1.043772, 1.47767329292929, 1.91157458585858, 2.34547587878788, 2.77937717171717, 3.21327846464646, 3.64717975757575, 4.08108105050505, 4.51498234343434, 4.94888363636363, 5.38278492929293, 5.81668622222222, 6.25058751515151, 6.68448880808081, 7.1183901010101, 7.55229139393939, 7.98619268686868, 8.42009397979798, 8.85399527272727, 9.28789656565656, 9.72179785858586, 10.1556991515151, 10.5896004444444, 11.0235017373737, 11.457403030303, 11.8913043232323, 12.3252056161616, 12.7591069090909, 13.1930082020202, 13.6269094949495, 14.0608107878788, 14.4947120808081, 14.9286133737374, 15.3625146666667, 15.796415959596, 16.2303172525253, 16.6642185454545, 17.0981198383838, 17.5320211313131, 17.9659224242424, 18.3998237171717, 18.833725010101, 19.2676263030303, 19.7015275959596, 20.1354288888889, 20.5693301818182, 21.0032314747475, 21.4371327676768, 21.8710340606061, 22.3049353535354, 22.7388366464646, 23.1727379393939, 23.6066392323232, 24.0405405252525, 24.4744418181818, 24.9083431111111, 25.3422444040404, 25.7761456969697, 26.210046989899, 26.6439482828283, 27.0778495757576, 27.5117508686869, 27.9456521616162, 28.3795534545455, 28.8134547474747, 29.247356040404, 29.6812573333333, 30.1151586262626, 30.5490599191919, 30.9829612121212, 31.4168625050505, 31.8507637979798, 32.2846650909091, 32.7185663838384, 33.1524676767677, 33.586368969697, 34.0202702626263, 34.4541715555556, 34.8880728484848, 35.3219741414141, 35.7558754343434, 36.1897767272727, 36.623678020202, 37.0575793131313, 37.4914806060606, 37.9253818989899, 38.3592831919192, 38.7931844848485, 39.2270857777778, 39.6609870707071, 40.0948883636364, 40.5287896565657, 40.9626909494949, 41.3965922424242, 41.8304935353535, 42.2643948282828, 42.6982961212121, 43.1321974141414, 43.5660987070707, 44
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 15
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 0.0753620000000002, 0.112479555555556, 0.149597111111111, 0.186714666666667, 0.223832222222222, 0.260949777777778, 0.298067333333333, 0.335184888888889, 0.372302444444445, 0.40942, 0.446537555555556, 0.483655111111111, 0.520772666666667, 0.557890222222222, 0.595007777777778, 0.632125333333334, 0.669242888888889, 0.706360444444445, 0.743478, 0.780595555555556, 0.817713111111111, 0.854830666666667, 0.891948222222222, 0.929065777777778, 0.966183333333334, 1.00330088888889, 1.04041844444444, 1.077536, 1.11465355555556, 1.15177111111111, 1.18888866666667, 1.22600622222222, 1.26312377777778, 1.30024133333333, 1.33735888888889, 1.37447644444444, 1.411594, 1.44871155555556, 1.48582911111111, 1.52294666666667, 1.56006422222222, 1.59718177777778, 1.63429933333333, 1.67141688888889, 1.70853444444444, 1.745652, 1.78276955555556, 1.81988711111111, 1.85700466666667, 1.89412222222222, 1.93123977777778, 1.96835733333333, 2.00547488888889, 2.04259244444444, 2.07971, 2.11682755555556, 2.15394511111111, 2.19106266666667, 2.22818022222222, 2.26529777777778, 2.30241533333333, 2.33953288888889, 2.37665044444444, 2.413768, 2.45088555555556, 2.48800311111111, 2.52512066666667, 2.56223822222222, 2.59935577777778, 2.63647333333333, 2.67359088888889, 2.71070844444444, 2.747826, 2.78494355555556, 2.82206111111111, 2.85917866666667, 2.89629622222222, 2.93341377777778, 2.97053133333333, 3.00764888888889, 3.04476644444444, 3.081884, 3.11900155555556, 3.15611911111111, 3.19323666666667, 3.23035422222222, 3.26747177777778, 3.30458933333333, 3.34170688888889, 3.37882444444444, 3.415942, 3.45305955555556, 3.49017711111111, 3.52729466666667, 3.56441222222222, 3.60152977777778, 3.63864733333333, 3.67576488888889, 3.71288244444444, 3.75
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 18
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 0.686403999999996, 1.02593527272727, 1.36546654545454, 1.70499781818181, 2.04452909090909, 2.38406036363636, 2.72359163636363, 3.06312290909091, 3.40265418181818, 3.74218545454545, 4.08171672727272, 4.421248, 4.76077927272727, 5.10031054545454, 5.43984181818181, 5.77937309090909, 6.11890436363636, 6.45843563636363, 6.79796690909091, 7.13749818181818, 7.47702945454545, 7.81656072727272, 8.156092, 8.49562327272727, 8.83515454545454, 9.17468581818181, 9.51421709090909, 9.85374836363636, 10.1932796363636, 10.5328109090909, 10.8723421818182, 11.2118734545455, 11.5514047272727, 11.890936, 12.2304672727273, 12.5699985454545, 12.9095298181818, 13.2490610909091, 13.5885923636364, 13.9281236363636, 14.2676549090909, 14.6071861818182, 14.9467174545455, 15.2862487272727, 15.62578, 15.9653112727273, 16.3048425454545, 16.6443738181818, 16.9839050909091, 17.3234363636364, 17.6629676363636, 18.0024989090909, 18.3420301818182, 18.6815614545455, 19.0210927272727, 19.360624, 19.7001552727273, 20.0396865454545, 20.3792178181818, 20.7187490909091, 21.0582803636364, 21.3978116363636, 21.7373429090909, 22.0768741818182, 22.4164054545455, 22.7559367272727, 23.095468, 23.4349992727273, 23.7745305454545, 24.1140618181818, 24.4535930909091, 24.7931243636364, 25.1326556363636, 25.4721869090909, 25.8117181818182, 26.1512494545455, 26.4907807272727, 26.830312, 27.1698432727273, 27.5093745454545, 27.8489058181818, 28.1884370909091, 28.5279683636364, 28.8674996363636, 29.2070309090909, 29.5465621818182, 29.8860934545455, 30.2256247272727, 30.565156, 30.9046872727273, 31.2442185454545, 31.5837498181818, 31.9232810909091, 32.2628123636364, 32.6023436363636, 32.9418749090909, 33.2814061818182, 33.6209374545454, 33.9604687272727, 34.3
17/05/24-19:57:50 | Phase 1 | Step 7: Estimating H values | Variable 19
