@relation R_data_frame

@attribute Variance {1,2,3,4,5}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute Curtosis {1,2,3,4,5,6,7}
@attribute Entropy {1,2,3,4,5,6,7}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
5,5,2,1,1
5,4,2,1,1
5,2,4,2,1
5,10,2,1,1
3,2,4,1,1
5,12,2,1,1
5,2,4,4,1
4,2,5,1,1
5,4,3,1,1
4,7,2,1,1
4,5,2,1,1
5,2,4,5,1
4,4,4,1,1
1,13,4,1,1
5,5,2,1,1
5,2,4,6,1
5,2,4,4,1
4,2,4,4,1
4,2,5,1,1
5,13,2,1,1
5,4,2,1,1
3,2,4,1,1
5,13,2,1,1
4,5,2,1,1
5,13,1,1,1
3,2,5,1,1
4,2,5,1,1
2,5,4,1,1
5,13,2,1,1
5,2,4,5,1
2,2,4,2,1
4,2,4,4,1
2,9,4,1,1
1,2,5,4,1
4,4,3,1,1
5,4,3,1,1
5,2,4,5,1
5,13,2,1,1
5,5,2,1,1
2,7,2,1,1
3,7,3,1,1
4,4,4,2,1
5,4,3,4,1
2,11,2,1,1
4,4,4,1,1
2,11,2,1,1
5,4,2,1,1
4,2,4,2,1
5,2,4,1,1
5,2,2,5,1
5,4,3,1,1
4,4,3,1,1
5,4,2,1,1
5,2,4,5,1
4,4,3,3,1
5,4,2,3,1
5,2,4,5,1
5,2,4,1,1
3,4,4,1,1
5,13,2,1,1
4,2,4,2,1
5,2,4,3,1
4,11,2,1,1
4,4,3,1,1
3,5,3,1,1
5,2,4,4,1
5,2,4,6,1
5,13,2,1,1
5,2,4,5,1
5,13,2,1,1
4,2,4,3,1
3,4,4,1,1
4,2,4,5,1
5,5,2,1,1
5,2,4,5,1
5,5,2,1,1
4,4,3,1,1
5,4,3,5,1
5,2,4,4,1
2,2,5,5,1
4,4,4,1,1
5,2,4,4,1
5,2,4,5,1
4,4,2,1,1
5,2,4,3,1
5,5,2,1,1
2,2,5,1,1
5,2,4,5,1
4,2,5,2,1
5,2,4,1,1
5,2,4,6,1
5,2,4,5,1
5,2,4,1,1
5,2,4,5,1
5,2,4,7,1
4,13,2,1,1
1,4,2,1,1
5,11,2,1,1
5,13,2,1,1
5,2,4,2,1
4,4,3,2,1
5,11,2,1,1
5,4,2,4,1
4,4,2,1,1
4,2,3,1,1
5,4,2,2,1
4,4,3,4,1
5,2,4,6,1
5,13,2,1,1
5,13,2,1,1
1,5,4,1,1
1,2,5,5,1
2,13,4,1,1
5,4,2,3,1
1,14,4,1,1
5,2,4,1,1
5,2,3,6,1
5,5,2,1,1
4,4,4,4,1
2,9,4,1,1
5,13,2,1,1
5,9,1,1,1
5,5,2,1,1
5,13,2,1,1
4,2,4,5,1
4,2,4,1,1
5,13,2,1,1
3,2,4,1,1
5,2,4,6,1
4,2,4,5,1
5,4,3,1,1
1,13,4,1,1
5,2,4,5,1
5,13,2,1,1
4,4,3,1,1
4,2,4,1,1
4,2,5,3,1
5,2,4,2,1
4,2,4,1,1
4,2,4,3,1
5,2,2,5,1
5,5,2,1,1
3,4,4,1,1
4,9,2,1,1
5,2,3,6,1
5,2,4,3,1
4,5,3,1,1
4,4,2,1,1
3,4,2,1,1
3,2,4,1,1
5,2,4,5,1
1,2,5,5,1
2,13,4,1,1
4,2,4,3,1
5,2,4,1,1
3,5,2,1,1
5,4,2,1,1
2,2,5,3,1
4,2,4,1,1
2,5,4,1,1
5,4,3,1,1
1,13,4,1,1
2,13,4,1,1
5,2,4,1,1
4,4,3,2,1
5,2,4,3,1
5,2,5,1,1
4,2,4,1,1
5,13,2,1,1
4,2,4,4,1
5,2,4,5,1
1,13,4,1,1
1,4,2,1,1
5,4,2,1,1
4,4,4,1,1
5,2,4,5,1
5,4,2,1,1
5,2,4,3,1
2,11,2,1,1
5,13,2,1,1
4,4,4,1,1
5,2,3,6,1
5,4,2,1,1
4,7,2,1,1
4,4,3,1,1
4,2,4,1,1
5,7,2,1,1
5,13,2,1,1
4,4,2,1,1
3,2,4,4,1
5,2,4,4,1
5,2,2,6,1
4,2,4,1,1
4,2,5,1,1
2,4,4,1,1
2,13,2,1,1
1,13,4,1,1
4,4,3,3,1
4,2,5,1,1
5,13,2,1,1
2,2,4,1,1
4,2,4,5,1
