@relation R_data_frame

@attribute Variance {1,2,3,4,5}
@attribute Skewness {1,2,3}
@attribute Curtosis {1,2,3,4,5,6}
@attribute Entropy {1,2,3,4,5,6,7,8,9,10,11}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
5,3,2,1,1
5,3,2,1,1
5,1,4,2,1
5,3,2,1,1
4,1,4,1,1
5,3,2,1,1
5,1,4,4,1
5,1,5,1,1
5,2,3,1,1
4,3,2,1,1
4,3,2,1,1
5,1,4,4,1
5,3,3,1,1
1,3,4,1,1
5,3,2,1,1
5,1,4,7,1
5,1,3,4,1
4,1,4,4,1
4,1,5,1,1
5,3,2,1,1
5,3,2,1,1
4,1,4,1,1
5,3,2,1,1
4,3,2,1,1
5,3,1,1,1
4,1,5,1,1
4,1,4,1,1
3,3,4,1,1
5,3,2,1,1
5,1,4,6,1
4,1,4,2,1
4,1,4,4,1
5,3,2,1,1
3,3,4,1,1
1,1,5,4,1
5,1,4,4,1
5,1,2,3,1
5,3,2,1,1
5,3,2,1,1
4,3,2,1,1
4,3,3,1,1
4,2,4,2,1
5,2,3,4,1
3,3,2,1,1
5,2,4,1,1
3,3,2,1,1
5,2,2,1,1
4,1,4,2,1
5,1,4,1,1
5,1,2,5,1
5,2,3,1,1
5,1,4,6,1
5,2,3,3,1
3,3,3,1,1
5,1,4,1,1
4,2,4,1,1
5,1,4,1,1
5,1,3,8,1
5,1,4,2,1
5,1,4,3,1
5,3,2,1,1
4,3,3,1,1
4,3,3,1,1
5,1,4,4,1
5,1,4,9,1
5,3,2,1,1
5,1,4,6,1
5,3,1,1,1
5,1,4,3,1
5,3,2,1,1
4,2,4,1,1
5,3,2,1,1
5,1,4,4,1
5,3,2,1,1
5,3,3,1,1
5,2,3,5,1
5,1,4,4,1
3,1,5,5,1
4,2,4,1,1
5,1,4,4,1
4,3,2,1,1
5,1,4,3,1
5,3,2,1,1
5,1,5,2,1
3,1,5,1,1
5,1,4,5,1
5,1,5,1,1
5,3,2,1,1
1,3,4,1,1
5,1,4,1,1
5,1,4,8,1
5,1,4,6,1
5,1,4,1,1
5,1,4,5,1
5,1,4,10,1
5,3,2,1,1
5,3,2,1,1
5,1,4,1,1
5,3,2,1,1
5,2,3,4,1
5,2,3,1,1
5,3,2,2,1
5,2,3,4,1
5,1,4,9,1
4,1,4,1,1
5,3,2,1,1
5,3,2,1,1
1,3,4,1,1
1,1,5,5,1
3,3,4,1,1
5,2,3,3,1
5,1,4,1,1
5,1,3,9,1
5,1,4,7,1
5,1,4,1,1
5,3,2,1,1
5,2,3,4,1
4,2,4,1,1
3,3,4,1,1
5,3,2,1,1
5,3,1,1,1
5,3,2,1,1
5,3,2,1,1
4,3,2,1,1
5,1,4,7,1
5,1,3,4,1
5,1,4,4,1
5,3,2,1,1
4,1,4,1,1
5,1,4,9,1
5,1,4,7,1
5,1,4,4,1
5,3,3,1,1
5,3,2,1,1
5,1,3,7,1
5,3,3,1,1
5,1,4,1,1
5,1,4,3,1
5,1,4,2,1
5,1,4,1,1
4,1,4,3,1
5,1,3,4,1
5,3,2,1,1
4,3,3,1,1
5,3,2,1,1
5,1,3,8,1
5,1,4,3,1
4,3,3,1,1
4,2,2,1,1
1,3,4,1,1
4,2,2,1,1
4,1,4,1,1
5,1,4,5,1
1,1,5,5,1
3,3,4,1,1
5,1,4,1,1
4,3,2,1,1
5,2,2,1,1
4,1,5,3,1
5,3,2,1,1
5,1,3,1,1
4,1,5,1,1
3,3,4,1,1
5,3,3,1,1
1,3,4,1,1
3,3,4,1,1
5,1,4,1,1
5,2,3,2,1
5,1,4,3,1
5,1,5,1,1
4,1,4,1,1
5,3,2,1,1
4,1,4,4,1
5,1,4,4,1
1,3,2,1,1
5,2,2,1,1
5,2,3,1,1
5,2,2,1,1
1,3,4,1,1
5,1,4,3,1
3,3,2,1,1
5,3,2,1,1
4,3,4,1,1
5,3,2,1,1
5,3,3,1,1
5,1,4,1,1
5,3,1,1,1
5,3,2,1,1
5,3,2,1,1
4,1,4,4,1
5,1,4,4,1
5,1,3,7,1
4,1,3,1,1
4,1,4,1,1
4,3,4,1,1
3,3,2,1,1
1,3,4,1,1
5,2,3,3,1
4,1,4,1,1
5,3,1,1,1
3,1,4,1,1
4,1,4,4,1
4,1,4,1,1
1,3,3,1,1
5,1,4,1,1
5,1,3,9,1
3,1,5,5,1
1,3,4,1,1
5,1,4,1,1
4,1,5,3,1
5,1,4,4,1
5,1,4,1,1
3,3,4,1,1
5,1,4,6,1
5,1,4,9,1
5,2,3,3,1
3,1,5,4,1
4,1,4,1,1
5,3,2,1,1
5,1,4,4,1
5,1,4,7,1
5,1,4,1,1
4,3,2,1,1
4,3,2,1,1
4,3,3,1,1
5,1,3,6,1
5,3,2,1,1
5,1,4,8,1
5,1,4,3,1
5,2,4,4,1
5,1,4,5,1
5,1,4,3,1
5,2,2,1,1
5,1,4,4,1
5,2,2,1,1
5,2,3,1,1
4,1,4,2,1
4,3,3,1,1
5,3,2,1,1
4,1,4,1,1
5,1,3,8,1
5,3,2,1,1
5,1,4,6,1
5,2,3,3,1
5,1,3,6,1
5,2,2,1,1
5,1,4,4,1
4,3,2,1,1
5,3,3,1,1
4,1,5,5,1
5,1,4,1,1
4,1,5,4,1
3,3,2,1,1
5,1,5,1,1
4,1,5,1,1
4,3,3,1,1
4,1,4,4,1
5,2,3,1,1
5,1,4,1,1
1,3,3,1,1
5,1,4,1,1
5,1,4,2,1
5,2,3,1,1
4,2,2,1,1
5,3,2,1,1
4,1,4,1,1
5,2,3,4,1
5,3,3,1,1
1,3,4,1,1
4,3,3,1,1
4,1,5,1,1
5,3,2,1,1
5,3,2,1,1
5,1,4,3,1
4,1,4,2,1
5,2,2,1,1
4,3,2,1,1
4,1,4,1,1
5,2,2,2,1
4,1,5,1,1
5,1,4,1,1
4,1,4,1,1
5,3,2,1,1
1,1,5,5,1
5,3,2,1,1
5,1,4,9,1
5,1,4,5,1
5,2,3,1,1
5,1,4,2,1
5,1,4,5,1
5,1,4,9,1
5,2,2,1,1
5,1,4,5,1
5,1,4,8,1
5,1,4,3,1
4,1,4,4,1
4,2,4,1,1
5,2,3,3,1
3,3,3,1,1
5,1,4,6,1
4,3,3,1,1
5,2,3,2,1
1,3,2,1,1
5,1,4,5,1
5,1,4,3,1
5,1,4,3,1
1,3,4,1,1
3,3,4,1,1
4,1,4,1,1
4,1,4,1,1
4,2,4,1,1
5,3,2,1,1
4,3,4,1,1
5,3,2,1,1
5,3,2,1,1
1,3,4,1,1
5,1,4,2,1
5,1,4,3,1
5,1,4,4,1
5,1,4,7,1
5,2,2,1,1
5,1,4,5,1
5,2,2,1,1
5,3,3,1,1
5,1,4,4,1
5,3,2,1,1
5,1,4,1,1
4,3,3,1,1
