@relation R_data_frame

@attribute V1 {1,2,3}
@attribute V2 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute V3 {1,2,3}
@attribute V4 {1,2,3,4,5}
@attribute V5 {1,2}
@attribute V6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}
@attribute V7 {1,2,3}
@attribute V8 {1,2,3}
@attribute V9 {1,2,3}
@attribute V10 {1,2,3,4,5,6,7}
@attribute V11 {1,2,3}
@attribute V12 {1,2,3,4}
@attribute V13 {1,2,3,4}
@attribute V14 {1,2}
@attribute V15 {1,2}
@attribute V16 {1,2,3}
@attribute V17 {1,2,3}
@attribute V18 {1,2,3,4}
@attribute V19 {1,2,3,4}
@attribute V20 {1,2}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
1,1,3,3,1,2,1,2,3,1,3,1,1,2,2,1,1,3,3,2,-1
1,1,1,1,1,3,2,2,3,2,2,2,2,2,2,3,1,1,2,1,1
1,1,1,1,2,4,2,2,3,1,3,3,2,1,1,3,1,1,1,1,1
1,1,1,1,1,3,2,2,1,1,1,1,2,2,1,3,3,3,3,1,1
1,1,1,1,1,8,2,2,2,1,3,2,2,1,1,2,1,1,1,1,1
1,1,3,2,1,11,1,2,3,1,3,1,1,1,1,3,1,3,1,1,1
1,1,1,1,1,9,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1
1,1,3,3,2,14,2,1,3,1,3,3,1,2,2,1,2,3,1,1,1
1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
1,1,1,1,2,1,2,2,3,1,3,3,1,1,1,1,1,1,1,1,1
1,1,1,1,1,3,2,2,3,1,3,1,1,2,2,1,2,3,3,2,1
1,1,1,1,2,1,2,2,3,4,3,1,1,1,2,3,2,1,1,2,1
1,1,3,5,2,6,2,2,3,1,1,3,2,2,1,1,2,1,3,1,-1
1,1,1,1,2,5,1,2,1,1,3,3,1,2,1,1,2,3,3,1,1
1,1,1,1,2,13,2,1,3,1,1,1,1,2,1,2,1,3,3,1,1
1,1,1,1,2,9,2,3,2,1,3,1,1,1,1,2,2,3,2,2,1
1,1,3,3,2,15,3,1,3,1,3,1,2,2,1,2,1,3,4,2,1
1,1,3,3,2,3,2,2,3,1,3,3,2,1,2,3,1,2,2,2,1
1,1,1,1,2,14,1,2,2,1,1,3,1,1,1,1,2,1,3,2,1
1,1,1,1,1,3,2,2,3,1,1,1,2,1,2,3,2,1,1,1,1
1,1,1,1,2,5,2,2,3,5,3,1,1,2,2,2,2,3,3,2,1
1,1,1,1,2,1,2,1,3,1,1,2,1,2,1,2,3,3,1,2,1
1,1,3,3,1,1,2,1,3,1,3,3,1,1,2,1,2,3,3,1,1
1,1,3,3,2,16,2,2,2,1,3,3,2,1,1,1,2,1,3,1,1
1,1,1,1,1,3,2,2,2,1,3,3,2,1,1,3,1,1,3,2,1
1,1,1,1,2,1,2,1,3,1,3,3,1,2,1,1,2,3,1,1,1
1,1,1,1,2,1,1,2,3,1,1,1,1,1,2,2,2,1,3,2,1
1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,3,2,1,1
1,2,3,3,2,14,1,2,3,1,1,3,2,2,2,2,2,3,3,1,1
1,2,3,3,1,3,1,2,1,1,1,1,2,1,1,1,1,1,3,2,1
1,3,1,1,2,1,1,2,3,1,3,1,2,1,1,2,1,3,3,2,1
