@relation R_data_frame

@attribute Variance {1,2,3,4,5}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute Curtosis {1,2,3,4,5,6,7}
@attribute Entropy {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
5,7,2,2,1
5,6,2,2,1
5,1,4,3,1
5,13,2,1,1
3,1,5,2,1
5,15,2,1,1
5,4,4,3,1
5,1,6,2,1
5,6,3,2,1
4,10,2,2,1
4,8,2,2,1
5,1,4,3,1
5,6,4,1,1
1,17,4,2,1
5,8,2,2,1
5,1,4,3,1
5,4,4,3,1
4,4,5,3,1
4,1,6,2,1
5,18,2,1,1
5,6,2,2,1
3,1,5,2,1
5,16,2,1,1
5,16,2,1,1
3,6,4,1,1
5,16,2,1,1
5,1,4,3,1
3,2,5,3,1
4,4,4,3,1
5,6,2,2,1
3,12,4,1,1
1,2,6,3,1
5,6,3,2,1
5,6,3,2,1
5,2,4,3,1
5,4,2,3,1
5,16,2,1,1
5,8,2,2,1
3,10,2,1,1
3,12,3,2,1
4,6,4,3,1
5,6,3,3,1
3,14,2,1,1
5,6,4,2,1
5,6,2,2,1
4,4,4,3,1
5,1,4,2,1
5,4,2,3,1
5,6,3,2,1
5,6,2,2,1
5,6,2,2,1
5,2,4,3,1
5,6,3,3,1
5,6,2,3,1
5,1,5,3,1
3,19,3,1,1
5,2,5,2,1
4,6,4,2,1
5,19,2,1,1
5,1,4,2,1
5,4,2,3,1
5,2,4,3,1
5,1,4,3,1
4,6,3,2,1
3,8,3,2,1
5,1,4,3,1
5,2,4,3,1
5,16,2,1,1
5,17,2,1,1
5,4,4,3,1
5,6,2,2,1
3,6,4,2,1
5,8,2,2,1
5,2,4,3,1
5,6,2,2,1
5,6,3,2,1
5,6,3,3,1
5,2,4,3,1
4,6,4,2,1
5,1,4,3,1
5,2,4,3,1
4,6,2,2,1
5,4,4,3,1
5,6,2,2,1
5,1,6,3,1
5,2,4,3,1
5,2,4,3,1
5,1,6,2,1
5,17,2,1,1
1,19,4,1,1
5,1,4,2,1
5,1,4,3,1
5,1,4,3,1
5,1,4,2,1
5,2,4,3,1
1,6,2,2,1
5,14,2,1,1
5,16,2,1,1
5,1,4,2,1
4,6,4,2,1
5,14,2,2,1
5,6,2,3,1
5,4,3,2,1
5,6,2,3,1
5,6,3,3,1
5,2,4,3,1
4,1,5,2,1
5,16,2,1,1
5,16,2,1,1
1,8,4,1,1
1,2,6,3,1
1,19,4,1,1
5,1,4,2,1
5,2,4,3,1
5,1,4,2,1
5,8,2,2,1
4,6,4,2,1
3,12,4,1,1
5,19,2,1,1
5,12,1,1,1
5,6,2,2,1
5,16,2,1,1
3,10,2,1,1
5,2,5,3,1
5,1,5,2,1
5,4,2,3,1
5,16,2,1,1
4,1,4,2,1
5,2,4,3,1
5,2,5,3,1
5,2,4,3,1
5,6,4,2,1
5,6,2,2,1
1,19,4,1,1
5,2,4,3,1
5,19,2,1,1
5,6,4,2,1
5,1,6,2,1
5,1,6,3,1
5,1,4,3,1
5,1,4,2,1
4,4,4,3,1
5,4,2,3,1
5,6,2,2,1
3,6,4,1,1
5,12,2,1,1
5,2,4,3,1
5,1,4,3,1
4,6,3,2,1
4,6,2,2,1
1,19,4,1,1
4,2,4,2,1
5,1,4,3,1
1,2,6,3,1
5,2,4,3,1
5,1,4,2,1
3,8,2,1,1
5,6,2,2,1
3,1,6,3,1
5,16,2,2,1
3,1,6,2,1
3,6,4,1,1
1,19,4,1,1
3,17,4,1,1
5,1,4,2,1
5,6,4,3,1
5,1,6,2,1
4,1,5,2,1
5,16,2,1,1
4,2,5,3,1
5,4,4,3,1
1,6,2,2,1
5,6,2,2,1
5,6,4,2,1
5,1,4,3,1
5,6,2,2,1
1,16,4,1,1
5,1,4,3,1
3,14,2,1,1
5,16,2,1,1
4,6,4,2,1
5,2,3,3,1
5,6,2,2,1
5,1,6,2,1
5,10,2,1,1
5,16,2,1,1
5,6,2,2,1
4,2,5,3,1
5,2,4,3,1
5,4,2,3,1
4,4,4,2,1
4,2,6,2,1
3,6,4,1,1
1,19,4,1,1
5,6,3,3,1
4,2,6,2,1
3,4,4,2,1
4,4,5,3,1
4,2,4,2,1
1,16,2,1,1
5,1,4,2,1
5,2,4,3,1
3,2,6,3,1
1,19,4,1,1
5,2,5,2,1
4,1,6,3,1
5,4,4,3,1
5,2,4,2,1
3,12,4,1,1
5,1,4,3,1
5,2,4,3,1
5,12,2,1,1
5,6,2,3,1
3,2,6,3,1
4,4,4,2,1
5,12,2,2,1
5,1,4,3,1
5,2,5,3,1
5,1,5,2,1
3,2,4,2,1
4,6,2,2,1
5,1,4,3,1
4,16,2,1,1
4,10,3,2,1
5,4,2,3,1
5,16,2,1,1
5,1,4,3,1
5,1,4,3,1
5,6,4,3,1
5,2,4,3,1
5,2,4,3,1
5,6,2,2,1
5,4,4,3,1
5,6,3,2,1
5,6,2,2,1
5,6,3,2,1
4,4,4,3,1
5,16,2,1,1
4,1,5,2,1
5,16,2,1,1
5,16,2,1,1
5,2,4,3,1
5,6,3,3,1
5,2,4,3,1
5,6,2,2,1
5,2,4,3,1
4,1,6,2,1
4,6,2,2,1
5,6,3,1,1
3,1,6,3,1
5,1,4,3,1
5,1,4,2,1
3,16,2,1,1
5,1,6,2,1
4,1,6,2,1
4,16,2,1,1
4,4,5,3,1
5,6,4,2,1
5,4,4,2,1
1,19,4,1,1
5,6,2,2,1
5,2,5,2,1
5,2,4,3,1
3,6,2,1,1
4,6,3,2,1
4,2,6,2,1
5,8,2,2,1
3,1,5,2,1
5,6,3,3,1
5,8,2,2,1
1,19,4,1,1
5,16,2,1,1
4,16,2,2,1
3,10,2,1,1
4,1,6,2,1
5,16,2,1,1
5,6,2,2,1
5,1,4,3,1
5,1,4,2,1
4,2,4,3,1
5,6,2,2,1
4,6,2,2,1
3,1,5,2,1
5,6,2,3,1
5,6,4,2,1
5,2,4,2,1
4,1,4,2,1
5,14,2,1,1
1,2,6,3,1
5,16,2,1,1
5,2,4,3,1
5,2,4,3,1
3,1,6,2,1
5,6,3,2,1
5,4,4,3,1
4,2,4,2,1
5,2,5,3,1
5,2,4,3,1
5,6,2,2,1
5,2,4,3,1
5,1,5,3,1
5,4,4,3,1
4,2,5,3,1
4,6,4,2,1
5,6,4,3,1
5,6,2,2,1
3,19,4,1,1
5,2,4,3,1
4,16,2,1,1
5,6,2,3,1
1,6,2,2,1
5,2,4,3,1
5,2,4,3,1
5,4,4,3,1
1,6,4,2,1
3,16,4,1,1
4,1,4,2,1
3,1,5,2,1
4,6,4,2,1
5,12,2,1,1
3,6,4,1,1
5,8,2,2,1
5,8,2,2,1
5,16,2,1,1
1,19,4,1,1
5,1,5,3,1
5,4,4,3,1
5,4,4,3,1
5,2,4,3,1
5,6,2,2,1
5,6,3,2,1
5,4,4,2,1
5,2,4,3,1
5,16,2,1,1
