@relation R_data_frame

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration {1,2,3}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount {1,2}
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age {1,2,3}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
<0,1,'critical/other existing credit',radio/tv,1,'no known savings',>=7,4,'male single',none,4,'real estate',2,none,own,2,skilled,1,yes,yes,1
0<=X<200,3,'existing paid',radio/tv,2,<100,1<=X<4,2,'female div/dep/mar',none,2,'real estate',1,none,own,1,skilled,1,none,yes,-1
'no checking',1,'critical/other existing credit',education,1,<100,4<=X<7,2,'male single',none,3,'real estate',2,none,own,1,'unskilled resident',2,none,yes,1
<0,2,'existing paid',furniture/equipment,2,<100,4<=X<7,2,'male single',guarantor,4,'life insurance',2,none,'for free',1,skilled,2,none,yes,1
<0,2,'delayed previously','new car',2,<100,1<=X<4,3,'male single',none,4,'no known property',2,none,'for free',2,skilled,2,none,yes,-1
'no checking',2,'existing paid',education,2,'no known savings',1<=X<4,2,'male single',none,4,'no known property',2,none,'for free',1,'unskilled resident',2,yes,yes,1
'no checking',2,'existing paid',furniture/equipment,1,500<=X<1000,>=7,3,'male single',none,4,'life insurance',2,none,own,1,skilled,1,none,yes,1
0<=X<200,2,'existing paid','used car',2,<100,1<=X<4,2,'male single',none,2,car,2,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,1
'no checking',1,'existing paid',radio/tv,1,>=1000,4<=X<7,2,'male div/sep',none,4,'real estate',2,none,own,1,'unskilled resident',1,none,yes,1
0<=X<200,2,'critical/other existing credit','new car',2,<100,unemployed,4,'male mar/wid',none,2,car,1,none,own,2,'high qualif/self emp/mgmt',1,none,yes,-1
