@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9}
@attribute Skewness {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute Curtosis {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute Entropy {1,2,3,4,5,6}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
7,8,1,1,1
9,7,1,1,1
7,1,4,2,1
7,12,1,1,1
3,1,4,1,1
9,14,1,1,1
7,3,4,4,1
7,7,2,1,1
6,9,2,1,1
6,9,2,1,1
8,1,4,5,1
7,7,4,1,1
1,16,4,1,1
9,1,4,6,1
7,3,4,4,1
6,3,4,4,1
6,1,7,1,1
9,18,1,1,1
9,7,1,1,1
3,1,4,1,1
7,15,1,1,1
6,9,2,1,1
9,15,1,1,1
6,1,4,1,1
9,15,1,1,1
3,1,4,2,1
6,5,4,4,1
9,7,2,1,1
3,11,4,1,1
1,3,6,4,1
7,3,4,5,1
9,3,2,3,1
7,15,1,1,1
3,9,1,1,1
3,11,2,1,1
6,7,4,2,1
7,7,2,4,1
3,13,1,1,1
7,7,4,1,1
3,13,1,1,1
7,7,2,1,1
6,5,4,2,1
9,1,4,1,1
9,5,2,5,1
7,7,2,1,1
7,7,2,1,1
9,7,1,1,1
9,3,4,5,1
7,7,2,3,1
9,7,2,3,1
3,19,2,1,1
7,3,4,1,1
6,7,4,1,1
9,19,1,1,1
7,1,4,1,1
7,3,4,2,1
9,1,4,3,1
7,13,1,1,1
6,7,2,1,1
3,9,2,1,1
7,1,4,4,1
9,3,4,6,1
9,15,1,1,1
9,17,1,1,1
7,5,4,3,1
7,7,1,1,1
6,5,4,5,1
7,9,1,1,1
9,3,4,5,1
9,7,1,1,1
7,7,2,1,1
7,7,2,5,1
9,3,4,5,1
3,3,5,5,1
6,7,4,1,1
9,1,4,4,1
7,3,4,5,1
6,7,1,1,1
9,5,4,3,1
9,7,1,1,1
7,3,4,4,1
3,1,7,1,1
7,1,5,1,1
7,17,1,1,1
1,19,4,1,1
7,1,4,1,1
9,1,4,6,1
9,1,4,5,1
7,1,4,1,1
9,3,4,5,1
7,3,4,6,1
7,15,1,1,1
1,7,2,1,1
7,13,1,1,1
9,1,4,1,1
6,7,4,1,1
7,13,1,1,1
9,7,2,5,1
7,7,2,1,1
7,3,2,1,1
7,7,2,2,1
7,7,2,4,1
7,3,4,6,1
6,1,4,1,1
7,15,1,1,1
9,15,1,1,1
1,3,5,5,1
3,15,4,1,1
7,7,2,3,1
1,19,4,1,1
7,1,4,1,1
9,3,4,6,1
7,3,4,5,1
9,9,1,1,1
4,7,4,1,1
3,11,4,1,1
9,19,1,1,1
9,11,1,1,1
9,7,1,1,1
9,15,1,1,1
3,9,1,1,1
7,3,4,5,1
7,1,4,1,1
9,5,2,4,1
7,1,4,5,1
7,15,1,1,1
6,1,4,1,1
7,3,4,6,1
7,1,4,5,1
7,3,4,4,1
7,7,4,1,1
9,7,2,1,1
1,19,4,1,1
9,3,4,5,1
7,19,1,1,1
7,7,4,1,1
7,1,4,1,1
7,1,5,3,1
7,1,4,2,1
7,1,4,1,1
