@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Skewness {1,2,3,4,5}
@attribute Curtosis {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute Entropy {1,2,3,4}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
11,5,2,3,1
13,5,4,2,1
11,2,10,3,1
11,5,1,2,1
8,2,12,3,1
12,5,1,2,1
11,3,9,3,1
11,1,14,3,1
11,4,7,3,1
10,5,5,3,1
10,5,5,3,1
11,2,11,3,1
11,5,9,2,1
1,5,11,2,1
11,5,1,3,1
13,2,11,3,1
11,3,9,3,1
10,2,13,2,1
13,5,1,1,1
13,5,3,3,1
8,2,12,3,1
11,5,1,1,1
10,5,5,2,1
13,5,1,2,1
10,2,13,2,1
10,2,13,3,1
5,5,11,2,1
13,5,1,2,1
13,2,11,3,1
10,3,11,3,1
11,5,5,3,1
3,5,9,1,1
1,2,13,3,1
11,4,7,3,1
11,4,7,3,1
11,2,9,3,1
13,3,5,3,1
11,5,1,2,1
11,5,1,3,1
8,5,1,1,1
8,5,7,2,1
3,5,1,1,1
11,4,9,2,1
3,5,1,1,1
11,4,5,3,1
10,3,11,3,1
11,2,11,3,1
13,3,5,3,1
11,4,7,2,1
11,4,7,2,1
13,4,3,3,1
13,2,9,3,1
11,4,7,3,1
13,4,5,3,1
11,2,11,3,1
3,5,7,1,1
11,2,13,3,1
10,4,9,3,1
11,5,1,1,1
11,2,9,3,1
13,3,7,3,1
11,3,11,3,1
13,2,11,3,1
11,5,1,2,1
10,5,7,2,1
8,5,7,2,1
11,2,9,4,1
13,5,1,2,1
11,2,11,3,1
11,3,9,3,1
11,5,3,2,1
8,4,9,3,1
8,5,9,3,1
10,3,11,3,1
11,5,1,3,1
13,3,9,3,1
13,5,1,2,1
11,5,7,2,1
11,4,7,3,1
3,3,13,3,1
10,4,9,3,1
11,2,11,3,1
11,2,11,3,1
10,5,3,3,1
11,3,9,3,1
11,5,3,2,1
11,1,13,3,1
11,3,11,3,1
3,2,13,2,1
11,1,13,3,1
11,5,1,1,1
1,5,11,1,1
11,2,11,2,1
13,2,11,3,1
13,2,9,3,1
11,2,11,3,1
11,2,9,3,1
11,3,11,4,1
11,5,1,1,1
1,5,5,2,1
11,5,1,1,1
11,5,1,1,1
11,2,11,3,1
10,4,9,3,1
11,5,1,2,1
11,4,7,3,1
11,4,7,2,1
11,3,7,3,1
11,4,5,3,1
11,4,7,3,1
11,5,1,1,1
11,5,1,1,1
1,5,9,1,1
1,3,13,3,1
3,5,9,1,1
11,4,7,3,1
1,5,11,1,1
11,2,11,3,1
13,3,9,4,1
11,2,9,3,1
11,2,11,3,1
13,5,1,2,1
11,4,9,3,1
8,4,11,3,1
3,5,9,1,1
13,5,1,2,1
13,5,3,3,1
13,5,1,1,1
8,5,1,1,1
11,2,11,3,1
11,2,11,3,1
11,3,5,3,1
10,2,11,3,1
11,2,9,3,1
11,2,13,3,1
11,2,9,3,1
11,4,9,2,1
13,5,5,2,1
1,5,11,2,1
13,2,9,3,1
11,5,1,1,1
11,5,9,2,1
11,2,13,3,1
11,2,13,3,1
11,2,11,3,1
11,2,11,3,1
10,3,11,3,1
13,3,5,3,1
11,5,1,2,1
8,5,9,2,1
11,5,1,2,1
13,3,9,3,1
11,2,11,3,1
10,5,7,2,1
10,4,5,2,1
1,5,11,1,1
8,4,5,2,1
10,2,9,3,1
3,5,11,1,1
11,3,11,3,1
11,2,11,3,1
8,5,1,1,1
11,4,5,3,1
8,2,13,3,1
11,5,1,2,1
11,3,9,3,1
8,2,13,3,1
3,5,9,1,1
11,4,7,3,1
1,5,11,1,1
11,2,11,3,1
11,4,7,3,1
13,2,11,3,1
11,2,13,3,1
10,2,13,3,1
11,5,1,1,1
10,2,11,3,1
13,3,9,3,1
1,5,9,1,1
11,4,5,3,1
11,4,9,2,1
11,2,11,3,1
1,5,11,2,1
11,2,11,3,1
3,5,1,1,1
11,5,1,1,1
10,5,9,3,1
13,3,7,3,1
13,4,1,3,1
11,5,1,2,1
11,5,7,2,1
11,2,13,3,1
11,5,1,1,1
11,5,1,1,1
11,5,1,2,1
10,3,13,3,1
11,2,9,3,1
13,3,7,3,1
10,3,9,3,1
10,2,13,3,1
3,5,1,1,1
1,5,11,2,1
11,4,7,3,1
10,2,13,3,1
13,5,1,1,1
7,3,11,3,1
10,3,11,3,1
10,2,9,3,1
13,3,9,4,1
3,3,13,3,1
1,5,11,1,1
11,2,13,3,1
11,3,11,3,1
3,5,11,1,1
11,2,11,3,1
11,2,9,3,1
11,5,1,2,1
11,4,7,3,1
3,3,13,3,1
10,3,9,3,1
11,4,7,3,1
11,5,1,2,1
11,2,11,3,1
11,2,13,3,1
11,2,13,3,1
8,2,9,3,1
10,5,5,2,1
13,2,11,3,1
10,5,5,1,1
10,5,7,2,1
13,3,7,3,1
11,5,1,1,1
11,2,11,3,1
11,2,11,3,1
11,4,9,3,1
11,2,9,3,1
11,3,11,3,1
11,4,5,3,1
11,3,9,3,1
11,5,7,2,1
13,4,1,2,1
11,4,7,3,1
10,3,9,3,1
8,5,9,2,1
11,5,1,1,1
10,2,13,3,1
13,3,7,3,1
11,5,1,1,1
13,5,1,2,1
13,2,11,3,1
11,4,7,3,1
11,4,5,3,1
11,2,9,3,1
10,2,13,2,1
10,5,3,2,1
8,2,13,3,1
11,2,11,3,1
8,2,13,3,1
3,5,1,1,1
11,1,13,3,1
10,2,13,2,1
10,5,5,1,1
8,3,11,3,1
11,4,9,2,1
11,3,9,3,1
11,4,5,3,1
11,2,13,3,1
11,2,11,3,1
11,4,7,2,1
8,4,5,2,1
10,5,7,2,1
10,2,13,3,1
11,5,1,2,1
8,2,12,3,1
11,4,7,3,1
11,5,7,2,1
1,5,11,2,1
11,5,1,2,1
10,5,7,2,1
8,5,1,1,1
10,2,15,2,1
13,5,1,1,1
11,5,3,3,1
11,2,11,3,1
13,2,11,3,1
11,4,5,2,1
10,5,5,3,1
8,2,12,3,1
13,4,5,3,1
11,4,9,2,1
10,2,13,2,1
11,3,9,3,1
11,5,1,2,1
1,3,13,3,1
11,5,1,1,1
11,3,11,4,1
13,3,9,3,1
8,1,13,2,1
11,5,1,1,1
11,3,11,3,1
10,3,11,3,1
11,3,11,3,1
11,3,9,3,1
11,3,9,3,1
11,2,11,3,1
11,3,9,3,1
10,3,13,3,1
10,4,11,3,1
11,4,9,3,1
13,5,5,3,1
3,5,9,1,1
11,2,9,3,1
10,5,5,2,1
11,4,7,3,1
1,5,5,2,1
11,2,9,3,1
11,2,9,3,1
11,3,9,3,1
1,5,11,3,1
3,5,11,1,1
10,2,11,3,1
8,2,12,3,1
10,4,11,3,1
11,5,1,1,1
8,5,9,2,1
11,5,1,3,1
11,5,1,1,1
1,5,9,1,1
11,2,11,3,1
11,3,9,3,1
11,2,9,3,1
13,4,5,3,1
11,3,9,3,1
11,4,5,3,1
11,5,7,2,1
11,3,9,3,1
11,3,9,3,1
11,2,11,3,1
10,5,7,1,1
11,5,5,3,1
1,2,13,3,1
11,5,1,2,1
1,5,11,1,1
11,5,1,2,1
11,3,9,3,1
10,2,13,3,1
13,5,1,2,1
10,3,11,3,1
11,5,1,1,1
10,5,5,1,1
11,5,9,2,1
1,5,11,2,1
13,2,11,3,1
1,5,11,2,1
11,5,1,1,1
7,5,5,2,1
11,4,9,2,1
10,4,9,3,1
11,5,1,2,1
1,5,9,1,1
11,3,9,3,1
5,4,9,2,1
13,2,11,3,1
11,4,9,2,1
10,2,13,3,1
11,1,13,3,1
11,4,9,3,1
11,2,11,3,1
8,2,9,3,1
10,4,9,2,1
8,5,9,2,1
8,4,9,2,1
11,2,9,3,1
10,4,9,3,1
11,2,9,3,1
11,5,1,2,1
11,2,11,4,1
11,5,1,2,1
11,5,1,1,1
10,3,13,3,1
3,3,13,3,1
11,2,16,2,1
1,5,11,2,1
3,3,13,3,1
13,5,1,1,1
8,5,9,1,1
11,4,9,3,1
11,2,13,2,1
1,5,11,1,1
3,5,1,1,1
11,2,9,3,1
11,2,13,3,1
10,4,7,2,1
13,5,1,2,1
11,5,1,2,1
13,5,1,2,1
10,5,5,3,1
8,2,9,3,1
10,4,9,3,1
11,4,5,3,1
13,3,7,3,1
10,5,5,1,1
