@relation R_data_frame

@attribute V1 {1,2,3}
@attribute V2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}
@attribute V3 {1,2}
@attribute V4 {1,2,3,4,5,6}
@attribute V5 {1,2,3,4,5,6,7,8,9,10}
@attribute V6 {1,2}
@attribute V7 {1,2,3}
@attribute V8 {1,2,3,4,5,6,7,8,9,10,11}
@attribute V9 {1,2,3,4,5,6,7,8}
@attribute V10 {1,2,3,4,5,6,7}
@attribute V11 {1,2,3,4,5,6,7,8}
@attribute V12 {1,2,3,4}
@attribute V13 {1,2,3}
@attribute V14 {1,2}
@attribute V15 {1,2}
@attribute V16 {1,2,3,4,5,6}
@attribute V17 {1,2,3,4,5,6,7,8}
@attribute V18 {1,2}
@attribute V19 {1,2,3,4}
@attribute V20 {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
1,1,2,6,2,1,1,3,1,2,4,1,1,2,2,2,2,2,3,1,-1
1,1,1,2,3,1,3,7,1,5,3,1,2,2,2,5,2,1,1,1,1
1,1,1,1,3,2,3,2,2,1,5,1,2,2,1,6,2,1,1,1,1
1,2,1,1,1,1,3,1,1,1,2,1,2,2,1,6,7,2,2,1,1
1,2,1,2,3,2,1,10,1,2,5,1,1,2,1,6,2,2,1,1,1
1,3,1,2,1,2,1,5,1,4,3,1,2,2,1,3,3,1,1,1,1
1,3,2,6,5,2,2,1,5,5,3,2,2,2,2,1,2,2,1,1,1
1,4,1,1,7,1,3,1,1,2,3,1,2,1,1,3,1,2,1,1,1
1,4,1,1,3,1,3,7,1,2,3,2,2,2,1,1,1,1,1,1,1
1,4,1,1,3,1,3,5,1,1,5,1,1,2,2,1,3,2,1,2,1
1,4,1,1,5,1,3,1,1,5,5,1,2,1,2,6,3,1,1,1,1
1,5,2,6,4,2,3,1,5,1,3,2,2,2,1,1,2,1,2,1,-1
1,6,1,1,3,2,1,1,1,2,3,1,2,2,1,1,2,2,1,1,1
1,6,1,1,7,2,3,1,4,1,3,1,2,2,1,3,1,2,1,1,1
1,6,1,1,5,2,2,11,1,5,5,1,2,1,1,3,4,2,1,1,1
1,6,1,3,3,2,3,1,6,5,5,1,2,2,1,3,1,2,4,1,1
1,6,2,5,3,1,3,5,1,2,5,1,2,2,2,6,1,1,1,2,1
1,6,1,1,5,2,1,7,1,1,3,1,1,2,1,1,2,1,1,1,1
1,7,1,2,3,1,3,3,1,5,3,1,2,1,2,6,2,1,1,1,1
1,8,1,1,5,1,3,1,5,5,3,1,2,2,1,3,5,2,1,1,1
1,8,1,2,1,1,3,1,5,2,5,1,2,1,2,3,2,2,4,1,1
1,10,1,1,3,1,3,1,1,1,5,1,1,2,1,1,2,2,1,1,1
1,10,1,1,3,1,1,5,5,1,3,1,2,2,2,4,2,1,1,2,1
1,10,1,1,3,1,3,1,1,5,3,1,2,2,1,4,1,2,1,1,1
1,10,1,1,3,1,3,1,1,2,5,1,1,2,1,1,2,1,2,1,1
1,10,1,4,5,2,1,11,1,2,3,2,2,2,2,4,2,1,2,1,1
1,11,2,6,1,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1
1,11,1,1,3,1,2,1,1,1,5,2,2,2,1,1,3,2,4,1,1
1,12,1,1,3,2,1,1,7,5,3,1,2,1,2,3,1,2,2,1,1
1,12,2,6,1,2,3,1,1,1,5,1,2,2,1,3,2,1,1,1,1
1,12,1,1,3,2,1,5,1,1,3,1,2,1,2,1,1,2,2,1,1
1,12,1,4,3,2,1,1,5,1,3,1,2,1,1,3,1,2,1,1,1
1,12,1,2,3,2,1,5,1,1,5,1,2,1,1,6,3,2,1,1,1
1,12,1,2,3,1,2,1,1,1,5,1,2,1,2,1,6,2,1,1,1
1,12,1,1,3,1,3,1,1,1,3,1,2,1,1,3,2,2,1,1,1
1,12,1,2,1,2,3,5,1,2,5,1,2,1,1,1,3,1,2,1,1
1,12,1,2,3,2,3,1,1,1,5,1,2,2,2,6,1,1,2,1,1
1,12,2,6,6,2,3,4,1,1,5,1,2,2,2,1,7,2,1,1,-1
1,12,2,6,3,2,1,1,5,5,3,1,2,2,1,3,3,1,1,1,1
1,12,1,4,3,2,1,3,1,1,5,1,2,1,1,1,2,1,1,1,1
1,12,2,4,5,1,2,1,3,5,5,1,1,2,1,1,2,2,1,1,-1
1,12,2,6,3,1,3,7,1,5,5,1,3,2,1,1,1,2,4,1,1
1,12,1,1,3,2,2,1,5,5,5,1,2,2,1,1,2,1,1,1,1
1,12,2,6,3,1,3,1,5,6,3,1,2,1,1,1,2,2,4,1,1
1,12,2,6,5,1,1,3,7,5,5,1,2,1,1,1,3,2,1,1,1
1,12,1,2,1,1,1,1,1,2,5,1,2,2,2,3,2,2,1,1,1
1,12,1,2,3,2,3,1,1,2,5,1,1,1,1,1,1,1,2,1,1
1,12,1,1,3,2,3,1,1,5,5,1,2,1,1,1,3,1,1,1,1
1,12,1,1,3,1,3,1,1,2,3,1,2,2,1,1,2,2,2,1,1
1,12,2,6,3,1,1,1,1,1,5,1,2,2,1,1,1,1,1,2,-1
1,12,1,1,3,2,3,5,7,1,3,1,1,1,1,3,4,2,4,1,1
1,12,2,6,3,2,1,3,1,2,3,1,2,2,1,1,1,2,1,1,1
1,12,1,4,1,1,1,1,1,1,5,1,2,2,1,3,3,2,4,1,1
1,12,1,2,1,2,3,5,1,5,5,1,2,1,1,3,3,2,4,1,1
1,12,1,4,3,1,1,1,1,5,3,1,2,1,2,1,2,2,1,1,-1
1,12,1,1,3,1,3,5,3,5,5,2,2,1,2,1,3,2,2,1,1
1,12,1,1,1,2,3,1,1,2,5,1,2,2,2,1,3,1,2,2,1
1,12,1,1,3,2,1,1,1,1,5,1,2,1,1,1,1,2,2,1,1
1,12,1,2,3,2,2,1,1,1,3,1,2,2,1,3,1,1,1,1,1
1,12,1,2,1,2,3,7,1,1,5,1,2,1,1,3,3,2,1,1,1
