@relation R_data_frame

@attribute Variance {1,2,3,4,5}
@attribute Skewness {1,2,3,4,5,6}
@attribute Curtosis {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}
@attribute Entropy {1,2,3,4,5,6,7,8}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
3,6,2,2,1
3,6,4,1,1
3,1,10,3,1
3,6,1,1,1
2,1,12,1,1
3,6,1,1,1
3,3,9,5,1
3,1,14,1,1
3,4,7,1,1
3,6,5,1,1
2,6,5,1,1
3,1,11,6,1
3,5,9,1,1
1,6,11,1,1
3,6,1,1,1
3,1,11,7,1
3,3,9,5,1
2,3,11,5,1
3,1,13,1,1
4,6,1,1,1
4,6,3,2,1
2,1,12,1,1
3,6,1,1,1
2,6,5,1,1
3,6,1,1,1
2,1,13,1,1
2,1,13,1,1
2,6,11,1,1
5,6,1,1,1
3,1,11,6,1
3,3,11,5,1
3,5,5,1,1
2,6,9,1,1
1,1,13,5,1
3,5,7,1,1
3,4,7,1,1
3,3,5,4,1
3,6,1,1,1
3,6,1,1,1
2,6,7,1,1
2,4,11,3,1
3,5,7,5,1
2,6,1,1,1
2,6,1,1,1
3,4,5,1,1
3,3,11,3,1
3,1,11,1,1
4,3,5,6,1
3,4,7,1,1
3,4,7,1,1
3,4,3,2,1
3,1,9,6,1
4,4,5,4,1
3,1,11,6,1
2,6,7,1,1
3,1,13,2,1
2,4,9,2,1
3,6,1,1,1
3,1,9,2,1
4,3,7,7,1
3,3,11,3,1
3,1,11,4,1
3,6,1,1,1
2,5,7,1,1
2,6,7,1,1
3,1,11,5,1
3,1,9,8,1
3,6,1,1,1
3,6,1,1,1
3,3,9,4,1
3,6,3,1,1
2,4,9,1,1
2,5,9,1,1
2,3,11,6,1
3,6,1,1,1
3,3,9,6,1
4,6,1,1,1
3,5,7,1,1
3,5,7,6,1
3,3,9,6,1
1,3,13,6,1
2,5,9,2,1
3,1,11,5,1
3,1,11,6,1
3,3,9,4,1
3,6,3,1,1
3,1,13,3,1
3,3,11,5,1
2,1,13,1,1
3,2,9,6,1
3,1,13,2,1
3,6,1,1,1
1,6,11,1,1
3,1,11,1,1
3,1,11,7,1
4,1,9,6,1
3,1,11,2,1
3,1,9,6,1
3,2,11,8,1
1,6,5,1,1
3,6,1,1,1
3,6,1,1,1
3,1,11,2,1
3,4,9,2,1
3,6,1,1,1
3,5,7,6,1
3,3,7,2,1
3,5,5,3,1
3,5,7,5,1
3,1,11,8,1
2,1,13,2,1
3,6,1,1,1
3,6,1,1,1
1,6,9,1,1
3,5,7,4,1
1,6,11,1,1
3,2,9,8,1
3,2,9,6,1
3,1,11,2,1
4,6,1,1,1
3,4,9,5,1
2,4,11,2,1
3,6,1,1,1
