@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7}
@attribute Skewness {1,2,3,4}
@attribute Curtosis {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@attribute Entropy {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
6,4,2,2,1
6,4,4,2,1
6,2,10,2,1
3,2,12,2,1
5,1,14,2,1
6,3,7,2,1
5,4,5,2,1
6,2,11,2,1
5,4,9,1,1
2,4,11,1,1
6,4,1,2,1
6,2,11,3,1
6,2,9,2,1
3,2,11,2,1
5,2,13,2,1
6,4,1,1,1
6,4,3,2,1
3,2,12,2,1
6,4,1,1,1
4,4,5,2,1
6,4,1,1,1
3,2,13,1,1
4,2,13,2,1
2,4,11,1,1
7,4,1,1,1
6,2,11,3,1
2,2,13,2,1
5,2,11,2,1
6,4,5,2,1
2,4,9,1,1
1,2,13,2,1
6,3,7,2,1
6,2,9,2,1
6,2,5,2,1
6,4,1,1,1
6,4,1,2,1
2,4,1,1,1
2,4,7,2,1
4,3,11,2,1
2,4,1,1,1
5,3,9,2,1
2,4,1,1,1
6,3,5,2,1
5,2,11,2,1
6,2,11,2,1
6,2,5,2,1
6,3,7,2,1
5,3,7,2,1
6,3,3,2,1
6,2,9,3,1
5,3,7,2,1
6,3,5,2,1
6,2,11,2,1
2,4,7,1,1
6,2,13,2,1
3,3,9,2,1
6,4,1,1,1
5,2,9,2,1
6,2,7,3,1
5,2,11,2,1
6,2,11,2,1
5,4,1,1,1
4,4,7,1,1
2,4,7,1,1
6,2,11,2,1
6,2,9,3,1
6,4,1,1,1
6,2,11,3,1
6,4,1,1,1
5,2,9,2,1
6,4,3,2,1
2,3,9,2,1
3,4,9,2,1
4,2,11,2,1
6,4,1,2,1
6,2,9,2,1
6,4,1,2,1
5,4,7,1,1
6,3,7,2,1
6,2,9,2,1
2,2,13,3,1
3,3,9,2,1
6,2,11,2,1
6,2,11,3,1
5,4,3,2,1
6,2,9,2,1
6,4,3,2,1
5,1,13,2,1
6,2,11,2,1
2,2,13,1,1
6,2,9,2,1
6,4,1,1,1
1,4,11,1,1
6,2,11,2,1
6,2,11,3,1
6,2,9,3,1
6,2,11,2,1
6,2,9,2,1
6,2,11,3,1
5,4,1,1,1
1,4,5,2,1
6,4,1,1,1
6,4,1,1,1
6,2,11,2,1
5,3,9,2,1
6,4,1,1,1
6,3,7,2,1
5,3,7,2,1
6,3,5,2,1
5,3,7,2,1
6,2,11,3,1
6,4,1,1,1
6,4,1,1,1
2,4,9,1,1
2,2,13,2,1
2,4,9,1,1
6,3,7,2,1
1,4,11,1,1
6,2,11,2,1
6,2,9,3,1
6,2,9,3,1
6,2,11,2,1
6,4,1,2,1
5,3,9,2,1
3,3,11,2,1
2,4,9,1,1
6,4,1,1,1
6,4,1,1,1
6,4,3,2,1
6,4,1,1,1
5,2,11,3,1
5,2,11,2,1
6,2,5,2,1
6,2,11,2,1
6,4,1,1,1
3,2,11,2,1
6,2,9,3,1
5,2,13,3,1
6,2,9,2,1
6,3,9,1,1
6,4,5,2,1
1,4,11,1,1
6,2,9,3,1
5,4,9,2,1
5,2,13,2,1
5,2,13,2,1
6,2,11,2,1
5,2,11,2,1
5,2,11,2,1
6,2,5,2,1
6,4,1,2,1
3,4,9,1,1
5,4,1,1,1
6,2,9,3,1
6,2,11,2,1
4,4,7,2,1
4,3,5,1,1
1,4,11,1,1
3,2,9,2,1
6,2,11,3,1
2,4,11,1,1
5,2,11,2,1
6,2,11,2,1
3,4,1,1,1
6,3,5,2,1
2,2,13,2,1
5,4,1,1,1
5,2,9,2,1
6,3,7,2,1
2,4,11,1,1
6,2,11,2,1
6,2,11,2,1
6,2,13,2,1
4,2,13,2,1
6,4,1,1,1
5,2,11,2,1
6,2,9,2,1
1,4,9,1,1
1,4,5,2,1
6,3,5,2,1
5,3,9,2,1
6,2,11,3,1
6,3,1,2,1
1,4,11,1,1
6,2,11,2,1
2,4,1,1,1
6,4,1,1,1
3,4,9,2,1
6,2,7,3,1
6,3,1,2,1
5,4,1,2,1
5,4,7,2,1
5,2,13,2,1
6,4,1,1,1
6,4,1,1,1
3,2,13,2,1
4,2,9,2,1
4,2,13,2,1
2,4,9,1,1
2,4,1,1,1
1,4,11,1,1
4,2,13,2,1
2,2,11,2,1
5,2,11,2,1
3,2,9,2,1
6,2,11,2,1
6,2,9,3,1
2,2,13,3,1
5,2,13,2,1
3,2,13,2,1
6,2,9,2,1
5,2,11,2,1
2,4,11,1,1
6,2,11,3,1
6,2,9,3,1
5,4,1,1,1
6,3,7,2,1
2,2,13,2,1
5,2,9,2,1
6,3,7,2,1
5,4,1,2,1
5,2,13,2,1
3,2,9,2,1
6,2,11,2,1
3,4,5,1,1
3,4,7,2,1
6,4,1,1,1
6,2,11,3,1
6,2,11,2,1
5,3,9,2,1
6,2,11,2,1
6,3,5,2,1
6,2,9,2,1
6,3,1,2,1
5,3,7,2,1
5,3,9,2,1
2,4,9,2,1
6,4,1,1,1
4,2,13,2,1
6,2,7,3,1
6,4,1,1,1
6,4,1,1,1
6,2,11,3,1
6,3,7,2,1
6,2,9,3,1
6,3,5,2,1
6,2,9,2,1
5,2,13,2,1
4,4,3,2,1
5,4,7,1,1
3,2,13,2,1
6,2,11,2,1
3,2,13,2,1
2,4,1,1,1
5,1,13,2,1
5,2,13,2,1
4,4,5,1,1
3,2,11,2,1
6,3,9,2,1
6,2,9,2,1
1,4,9,1,1
6,3,5,2,1
5,2,13,2,1
5,2,11,2,1
5,3,7,2,1
2,3,5,1,1
4,4,7,2,1
4,2,13,2,1
5,4,1,2,1
3,2,12,2,1
6,3,7,2,1
5,4,7,2,1
1,4,11,1,1
4,4,7,2,1
3,4,1,1,1
5,2,15,2,1
6,4,1,1,1
6,4,3,2,1
6,2,11,2,1
6,2,11,2,1
5,2,11,2,1
4,4,5,2,1
3,2,12,2,1
6,3,5,2,1
6,3,9,2,1
6,2,9,2,1
3,2,11,2,1
6,4,1,1,1
1,2,13,2,1
6,4,1,1,1
6,2,11,3,1
6,2,9,2,1
2,1,13,2,1
6,4,1,1,1
6,3,7,2,1
5,2,11,2,1
