@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}
@attribute Skewness {1,2,3}
@attribute Curtosis {1,2,3,4,5,6}
@attribute Entropy {1,2,3,4,5,6}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
12,3,2,3,1
15,3,2,2,1
11,3,2,1,1
3,2,4,3,1
14,3,2,1,1
11,2,3,4,1
11,1,5,3,1
11,3,3,3,1
7,3,2,3,1
7,3,2,3,1
13,2,4,4,1
1,3,4,2,1
11,3,2,3,1
11,2,3,4,1
5,2,4,4,1
7,2,5,2,1
16,3,2,1,1
17,3,2,3,1
3,2,4,3,1
5,3,2,2,1
5,2,5,2,1
7,2,4,3,1
3,3,4,1,1
18,3,2,1,1
15,2,4,5,1
3,2,4,4,1
7,2,4,4,1
13,3,2,3,1
1,3,4,1,1
1,2,5,4,1
11,3,3,3,1
13,2,4,4,1
15,2,2,4,1
13,3,2,3,1
3,3,2,1,1
3,3,3,2,1
5,3,4,4,1
3,3,2,1,1
11,3,3,2,1
3,3,2,1,1
13,3,2,3,1
7,2,4,4,1
17,2,2,4,1
11,3,3,2,1
11,3,3,2,1
15,3,2,3,1
15,2,4,6,1
11,3,3,4,1
17,3,2,4,1
11,2,4,4,1
3,3,3,1,1
11,2,4,3,1
5,3,4,3,1
13,3,2,1,1
17,2,3,6,1
11,2,4,4,1
15,2,4,4,1
11,3,2,2,1
5,3,3,2,1
3,3,3,2,1
13,2,4,4,1
13,2,3,6,1
15,3,2,1,1
13,2,4,5,1
15,3,2,1,1
11,2,3,4,1
13,3,2,2,1
3,3,4,3,1
3,3,3,3,1
7,2,4,4,1
11,3,2,3,1
15,2,3,4,1
15,3,2,2,1
9,3,3,2,1
11,3,3,4,1
13,2,3,4,1
1,2,5,4,1
5,3,3,4,1
13,2,4,4,1
13,2,4,4,1
7,3,2,3,1
13,2,3,4,1
13,3,2,2,1
11,1,5,4,1
11,2,4,4,1
3,2,5,2,1
11,2,3,4,1
11,1,5,4,1
13,3,2,1,1
11,2,4,2,1
15,2,3,5,1
11,2,4,3,1
13,2,3,4,1
11,2,4,6,1
11,3,2,1,1
1,3,2,2,1
11,3,2,1,1
11,3,2,1,1
13,2,4,4,1
7,3,3,4,1
11,3,2,2,1
13,3,2,4,1
9,3,2,2,1
11,2,3,4,1
11,3,3,4,1
11,2,4,6,1
5,2,4,3,1
11,3,2,1,1
13,3,2,1,1
1,3,4,1,1
1,2,5,4,1
1,3,4,1,1
11,3,3,4,1
1,3,4,1,1
13,2,4,4,1
15,2,3,6,1
11,2,4,6,1
11,2,4,3,1
15,3,2,2,1
9,3,3,4,1
3,3,4,3,1
1,3,3,1,1
13,3,2,1,1
17,3,1,1,1
15,3,2,3,1
15,3,2,1,1
3,3,2,1,1
11,2,4,6,1
9,2,4,3,1
13,2,2,4,1
13,2,4,4,1
13,3,2,1,1
5,2,4,3,1
13,2,4,6,1
9,2,4,6,1
13,2,3,4,1
11,3,3,2,1
15,3,2,2,1
1,3,4,1,1
15,2,3,6,1
11,3,2,1,1
9,3,3,2,1
11,2,4,4,1
13,2,4,4,1
7,2,4,4,1
15,2,2,4,1
11,3,2,2,1
3,3,3,1,1
11,3,2,1,1
15,2,3,6,1
13,2,4,4,1
7,3,3,2,1
5,3,2,2,1
1,3,4,1,1
3,3,2,2,1
5,2,4,3,1
13,2,4,4,1
1,2,5,4,1
1,3,4,1,1
9,2,4,4,1
11,2,4,4,1
3,3,2,1,1
