@relation R_data_frame

@attribute RI {1,2,3,4,5}
@attribute Na {1,2,3}
@attribute Mg {1,2}
@attribute Al {1,2,3,4,5,6,7,8}
@attribute Si {1,2,3,4,5,6,7,8,9}
@attribute K {1,2,3,4}
@attribute Ca {1,2,3,4,5,6,7}
@attribute Ba {1,2,3}
@attribute Fe {1,2,3}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
2,2,2,2,1,1,2,1,1,1
2,3,2,4,4,1,1,1,1,1
1,2,2,6,5,1,1,1,1,1
2,2,2,3,4,1,1,1,1,1
1,2,2,3,6,1,1,1,1,1
1,2,2,6,4,3,1,1,3,1
1,2,2,2,6,1,1,1,1,1
2,2,2,2,6,1,1,1,1,1
2,3,2,4,2,1,1,1,1,1
2,2,2,4,5,1,2,1,1,1
1,2,1,6,6,4,1,1,3,1
2,2,2,3,5,2,2,1,1,1
1,2,1,5,6,4,1,1,3,1
1,2,2,3,6,1,2,1,2,1
2,2,2,3,6,1,2,1,1,1
2,2,2,3,6,1,2,1,1,1
2,2,2,2,6,2,2,1,1,1
2,3,2,1,1,1,3,1,1,1
2,3,2,2,2,1,2,1,1,1
1,2,2,7,4,1,2,1,1,1
2,2,2,6,4,1,2,1,2,1
2,3,2,1,2,1,2,1,1,1
1,2,2,3,4,2,2,1,1,1
2,2,2,4,5,2,2,1,1,1
1,2,2,2,4,1,2,1,1,1
2,2,2,3,5,3,2,1,1,1
2,2,2,5,4,2,2,1,1,1
2,2,2,6,6,1,2,1,1,1
2,2,2,3,4,2,2,1,1,1
2,2,2,3,6,2,2,1,2,1
2,2,2,3,4,2,2,2,3,1
2,2,2,4,7,2,2,1,1,1
2,2,2,4,4,1,2,1,1,1
2,3,2,4,2,1,2,2,1,1
2,2,2,4,4,3,2,1,1,1
2,3,2,1,1,1,4,1,1,1
2,3,2,1,1,1,4,1,1,1
2,2,2,2,5,3,2,1,1,1
2,2,1,3,6,2,2,1,1,1
2,2,1,4,4,2,2,1,1,1
2,2,1,3,4,2,2,1,3,1
2,2,2,4,2,1,2,1,1,1
3,3,2,1,1,1,4,1,1,1
2,2,2,1,2,1,4,1,1,1
2,2,1,3,2,2,2,1,1,1
2,2,2,1,1,1,4,1,2,1
2,2,1,3,3,2,2,1,1,1
2,2,1,3,4,1,2,1,1,1
2,2,1,3,5,1,2,1,1,1
2,2,1,3,7,1,2,1,3,1
1,2,2,2,5,2,2,1,3,1
2,2,2,3,4,2,2,1,1,1
2,2,2,2,5,2,1,1,1,1
2,2,2,3,4,1,1,1,1,1
2,2,2,2,4,1,2,1,1,1
2,2,2,4,1,1,2,3,1,1
2,2,2,1,1,1,4,1,1,1
2,3,2,1,1,1,4,1,1,1
2,2,2,1,2,1,4,1,1,1
2,2,2,2,2,1,4,1,1,1
2,2,2,1,3,1,4,1,2,1
2,2,2,1,3,1,4,1,2,1
2,2,2,1,2,1,4,1,1,1
1,3,2,7,2,1,1,1,2,-1
2,2,2,3,2,1,2,1,3,-1
1,2,2,6,6,4,1,1,1,-1
1,2,2,6,4,2,1,1,1,-1
1,2,2,6,6,4,1,1,1,-1
1,2,2,6,6,4,1,1,1,-1
1,2,2,6,3,3,1,1,1,-1
1,2,2,6,4,2,1,1,1,-1
1,3,2,3,4,1,1,1,2,-1
1,2,2,8,4,4,1,1,1,-1
1,2,1,6,6,2,1,1,1,-1
1,2,2,6,4,4,1,1,1,-1
1,3,1,8,3,4,1,1,1,-1
1,2,2,6,4,1,1,1,1,-1
1,2,2,6,6,1,1,1,1,-1
1,2,2,6,4,4,1,1,1,-1
1,2,2,6,4,2,1,1,1,-1
1,2,2,7,6,3,1,1,1,-1
2,2,2,2,3,3,2,1,3,-1
1,2,1,6,6,1,1,1,1,-1
1,2,1,6,6,1,2,1,2,-1
1,2,1,6,6,1,1,1,1,-1
1,2,1,6,6,4,1,1,1,-1
2,2,1,6,3,1,2,1,1,-1
2,2,2,2,3,3,2,1,2,-1
1,1,1,2,7,2,2,1,3,-1
1,2,1,7,6,4,2,1,1,-1
2,2,1,6,4,2,2,3,1,-1
1,2,1,6,6,1,2,2,3,-1
1,1,1,7,4,4,4,1,1,-1
2,2,1,1,8,1,4,1,3,-1
4,2,1,1,1,1,4,1,1,-1
2,2,1,2,1,1,4,1,1,-1
4,1,1,8,1,1,5,3,3,-1
5,1,1,2,1,1,7,1,3,-1
2,3,1,2,4,1,4,1,1,-1
2,2,1,1,9,1,4,1,1,-1
3,1,1,1,6,1,6,1,1,-1
4,1,1,1,6,1,6,1,1,-1
2,2,2,3,3,2,2,1,1,-1
2,2,2,4,3,1,1,1,1,-1
1,2,2,7,2,3,1,1,1,-1
1,2,2,6,3,3,1,1,3,-1
1,2,2,6,3,3,1,1,1,-1
2,2,2,4,3,1,2,1,1,-1
1,2,2,6,4,3,1,1,3,-1
1,2,2,6,4,1,1,1,1,-1
1,2,2,7,3,2,1,1,1,-1
2,2,2,2,4,1,2,1,1,-1
2,2,2,6,3,1,2,1,2,-1
1,2,2,3,4,1,2,1,1,-1
2,2,1,6,2,1,4,1,2,-1
2,2,1,7,3,1,4,3,2,-1
2,3,1,7,1,1,4,1,2,-1
2,2,1,4,3,1,4,1,1,-1
3,2,1,4,1,1,6,1,1,-1
2,2,2,2,3,1,1,1,1,-1
2,2,2,6,2,1,1,1,2,-1
2,2,2,3,4,1,1,1,1,-1
2,2,2,3,3,1,2,1,3,-1
2,2,2,2,6,1,2,1,2,-1
1,2,2,6,4,2,1,1,1,-1
1,2,2,6,6,3,1,1,1,-1
1,2,2,7,6,3,1,1,1,-1
1,2,2,6,3,4,1,1,1,-1
2,2,2,2,4,1,2,2,2,-1
1,2,2,6,5,4,1,2,3,-1
1,2,2,7,4,3,1,1,1,-1
